age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,two_year_recid,juv_fel_count,juv_misd_count,juv_other_count,c_days_from_compas,length_of_stay
25,M,Caucasian,25 - 45,High,Male,9,-1.0,10,1,0,0,0,1.0,167.0
35,F,African-American,25 - 45,High,Male,13,-1.0,8,1,1,0,4,1.0,21.0
49,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,0.0,3.0
29,F,African-American,25 - 45,Low,Male,0,0.0,4,0,0,0,0,1.0,3.0
29,F,Caucasian,25 - 45,Low,Male,1,-24.0,2,1,0,0,0,24.0,2.0
28,F,Other,25 - 45,Low,Female,0,-1.0,2,0,0,0,0,1.0,22.0
31,F,African-American,25 - 45,Medium,Male,15,-1.0,5,0,0,0,1,1.0,3263.0
24,F,African-American,Less than 25,Low,Male,2,-1.0,4,1,0,0,0,1.0,44.0
30,M,Hispanic,25 - 45,Medium,Male,0,0.0,7,0,0,0,0,0.0,558.0
49,M,African-American,Greater than 45,Low,Male,4,-1.0,1,0,0,0,0,1.0,21.0
53,F,Caucasian,Greater than 45,Medium,Male,8,-13.0,5,0,0,0,0,13.0,313.0
35,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,0,0,0,1.0,23.0
27,F,African-American,25 - 45,High,Male,15,-1.0,10,1,1,1,2,1.0,27.0
38,M,Caucasian,25 - 45,Low,Male,4,-1.0,2,1,0,0,0,1.0,47.0
22,F,African-American,Less than 25,Low,Male,1,-1.0,4,1,0,0,1,1.0,24.0
29,F,African-American,25 - 45,High,Male,4,-1.0,9,1,0,0,0,1.0,455.0
62,M,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,1.0,-3.0
27,F,African-American,25 - 45,Medium,Male,6,0.0,6,1,0,1,0,0.0,722.0
33,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,32.0
56,M,African-American,Greater than 45,Low,Female,0,0.0,1,0,0,0,0,1.0,76.0
45,F,Hispanic,Greater than 45,Low,Male,6,-1.0,1,1,0,0,0,1.0,5807.0
22,F,Hispanic,Less than 25,Low,Male,1,-1.0,4,0,0,0,0,1.0,25.0
39,M,African-American,25 - 45,Low,Male,1,-1.0,4,0,0,0,0,1.0,117.0
29,F,African-American,25 - 45,Medium,Male,5,0.0,6,1,0,0,0,0.0,27.0
27,F,Caucasian,25 - 45,Medium,Male,1,-1.0,6,1,0,0,1,1.0,342.0
40,F,African-American,25 - 45,Low,Male,2,-15.0,2,0,0,0,0,15.0,76.0
22,M,African-American,Less than 25,Low,Male,1,0.0,3,1,0,0,0,1.0,403.0
22,F,Caucasian,Less than 25,High,Male,0,-1.0,8,0,0,0,0,1.0,1390.0
26,F,African-American,25 - 45,Low,Female,1,-1.0,4,1,0,0,0,1.0,48.0
32,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,0,0,1.0,27.0
41,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,0,0,0,5185.0,40.0
30,M,African-American,25 - 45,High,Male,8,-1.0,10,1,0,0,0,1.0,29.0
50,F,Other,Greater than 45,Low,Male,0,-1.0,1,1,0,0,0,1.0,19.0
25,F,African-American,25 - 45,High,Male,14,-1.0,10,1,1,6,1,1.0,171.0
20,F,Other,Less than 25,Medium,Male,0,-1.0,5,1,0,0,0,1.0,26.0
22,F,African-American,Less than 25,High,Male,2,0.0,9,1,1,0,0,0.0,721.0
35,M,African-American,25 - 45,Low,Female,1,-1.0,2,0,0,0,0,1.0,20.0
36,F,African-American,25 - 45,Medium,Male,9,0.0,7,1,0,0,0,1.0,88.0
26,F,Caucasian,25 - 45,High,Male,7,0.0,8,1,0,0,0,1.0,2.0
21,F,Other,Less than 25,Medium,Male,1,0.0,6,1,0,0,0,1.0,94.0
25,F,Caucasian,25 - 45,High,Male,9,-1.0,8,1,0,0,0,1.0,23.0
20,F,Caucasian,Less than 25,Medium,Female,0,-1.0,7,0,0,0,0,1.0,14.0
39,F,Caucasian,25 - 45,Low,Male,2,-2.0,1,1,0,0,0,3.0,-6.0
54,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,0,0,1.0,6.0
44,M,Hispanic,25 - 45,Low,Female,0,-2.0,1,0,0,0,0,2.0,27.0
19,M,African-American,Less than 25,Low,Male,1,-10.0,4,1,0,0,0,10.0,218.0
30,F,African-American,25 - 45,Low,Male,1,-1.0,2,0,0,0,0,1.0,22.0
39,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,1,0,0,0,1.0,40.0
24,F,Caucasian,Less than 25,Medium,Male,8,-1.0,6,1,0,1,2,0.0,292.0
30,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,0,0,1.0,143.0
31,M,Caucasian,25 - 45,Medium,Male,0,-1.0,5,0,0,0,0,1.0,935.0
39,F,Caucasian,25 - 45,Low,Female,1,-1.0,4,0,0,0,0,1.0,2564.0
43,F,Caucasian,25 - 45,Low,Male,1,-30.0,1,0,0,0,0,30.0,24.0
21,F,African-American,Less than 25,High,Male,3,-1.0,9,1,0,0,0,1.0,150.0
38,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,1,0,0,0,1.0,68.0
34,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,0,0,0.0,358.0
33,F,African-American,25 - 45,Medium,Male,5,0.0,5,1,0,0,0,1.0,6.0
37,F,African-American,25 - 45,Low,Male,3,0.0,2,0,0,0,0,0.0,30.0
42,F,Caucasian,25 - 45,Low,Male,1,0.0,2,1,0,0,0,1.0,21.0
41,F,African-American,25 - 45,High,Male,10,0.0,9,1,0,1,0,0.0,4224.0
22,F,African-American,Less than 25,Low,Male,0,-1.0,4,1,0,0,0,1.0,21.0
33,F,African-American,25 - 45,High,Male,28,-1.0,8,1,0,12,2,1.0,44.0
31,M,African-American,25 - 45,Medium,Male,1,-1.0,7,0,0,0,0,1.0,28.0
30,F,Other,25 - 45,Low,Female,1,-1.0,2,0,0,0,0,1.0,26.0
31,F,Caucasian,25 - 45,High,Male,13,-1.0,10,1,0,0,0,0.0,11310.0
27,F,African-American,25 - 45,High,Male,3,-1.0,9,1,0,0,0,1.0,23.0
52,M,Caucasian,Greater than 45,High,Male,3,-2.0,9,0,0,0,0,2.0,15.0
33,F,African-American,25 - 45,High,Male,19,-1.0,10,1,0,0,0,1.0,20.0
42,F,Caucasian,25 - 45,Low,Male,6,-4.0,3,0,0,0,0,5.0,-4.0
25,F,Caucasian,25 - 45,Low,Female,2,-1.0,4,0,0,0,0,1.0,72.0
30,M,Caucasian,25 - 45,Low,Male,1,-20.0,2,0,0,0,0,20.0,91.0
37,M,Other,25 - 45,Low,Female,2,-1.0,2,0,0,0,0,222.0,41.0
28,M,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,0,0,0,1.0,21.0
24,M,African-American,Less than 25,Low,Female,0,-1.0,2,0,0,0,0,1.0,58.0
29,F,Caucasian,25 - 45,Low,Female,10,-1.0,4,1,0,1,0,1.0,170.0
44,M,Caucasian,25 - 45,Low,Male,2,0.0,2,1,0,0,0,1.0,-1.0
32,F,African-American,25 - 45,Medium,Male,3,-1.0,7,1,0,0,0,1.0,193.0
31,M,Caucasian,25 - 45,Low,Male,2,-16.0,3,1,0,0,0,16.0,363.0
31,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,0,0,0,1.0,25.0
59,F,Caucasian,Greater than 45,Low,Male,1,-1.0,2,1,0,0,0,1.0,13.0
20,F,African-American,Less than 25,High,Female,1,0.0,10,0,1,0,0,0.0,66.0
43,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,0,0,0.0,23.0
38,F,African-American,25 - 45,High,Male,9,-1.0,8,1,1,1,0,1.0,315.0
32,F,African-American,25 - 45,Medium,Male,11,-2.0,6,1,0,0,0,2.0,30.0
33,M,African-American,25 - 45,Medium,Male,8,-1.0,5,1,0,0,0,1.0,17.0
31,F,African-American,25 - 45,Low,Female,0,-1.0,3,1,0,0,0,1.0,42.0
33,F,African-American,25 - 45,High,Female,7,-1.0,9,1,0,0,0,1.0,628.0
27,F,African-American,25 - 45,High,Male,2,-1.0,9,1,0,0,0,1.0,25.0
20,F,African-American,Less than 25,Medium,Female,0,0.0,6,0,0,0,0,1.0,3.0
26,M,Caucasian,25 - 45,Medium,Female,0,-2.0,6,0,0,0,0,2.0,21.0
61,F,African-American,Greater than 45,Low,Female,1,-1.0,1,1,0,0,0,1.0,18.0
52,F,Other,Greater than 45,Medium,Male,13,-1.0,7,1,0,0,0,1.0,41.0
63,F,Hispanic,Greater than 45,Low,Male,1,-26.0,1,0,0,0,0,26.0,355.0
32,F,African-American,25 - 45,High,Female,4,-7.0,10,1,0,0,0,7.0,163.0
29,F,Hispanic,25 - 45,Low,Male,1,-1.0,4,0,0,0,0,1.0,21.0
26,M,African-American,25 - 45,Low,Female,2,-1.0,4,1,0,0,0,1.0,18.0
39,M,Caucasian,25 - 45,Low,Male,1,-1.0,4,0,1,0,0,1672.0,94.0
30,F,Caucasian,25 - 45,Medium,Female,3,0.0,7,1,0,0,0,1.0,12722.0
30,F,African-American,25 - 45,Medium,Male,1,0.0,7,0,0,0,0,1.0,1683.0
48,M,Caucasian,Greater than 45,Low,Male,2,-1.0,2,0,0,0,0,1.0,19.0
22,F,African-American,Less than 25,Low,Male,1,-1.0,2,0,0,0,0,1.0,20.0
46,F,Caucasian,Greater than 45,Low,Male,6,22.0,1,1,0,0,0,31.0,544.0
31,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,0,0,1.0,54.0
25,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,0,0,0,1.0,46.0
23,F,Hispanic,Less than 25,Low,Male,0,-1.0,3,0,0,0,0,2.0,0.0
32,F,African-American,25 - 45,Medium,Female,5,-1.0,7,0,0,0,0,1.0,26.0
52,M,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,0,0,0,1.0,73.0
62,F,African-American,Greater than 45,Low,Male,8,0.0,4,0,0,0,0,1.0,375.0
31,F,Hispanic,25 - 45,High,Male,8,29.0,9,1,0,0,0,61.0,2813.0
28,M,African-American,25 - 45,Medium,Male,6,-1.0,6,1,0,0,0,1.0,16.0
54,F,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,0,0,0,1.0,4521.0
58,F,Hispanic,Greater than 45,Low,Male,0,-1.0,2,0,0,0,0,1.0,16.0
78,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,1,0,0,0,1.0,20.0
56,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,27.0
24,F,Other,Less than 25,Low,Male,0,-1.0,2,0,0,0,0,1.0,47.0
22,F,African-American,Less than 25,Medium,Male,1,0.0,5,1,0,0,0,1.0,0.0
47,M,African-American,Greater than 45,High,Male,23,-1.0,8,1,0,0,0,1.0,20.0
23,M,African-American,Less than 25,Low,Male,0,-1.0,2,1,0,0,0,1.0,24.0
57,F,Hispanic,Greater than 45,Low,Male,1,0.0,1,0,0,0,0,0.0,472.0
66,F,African-American,Greater than 45,Low,Male,3,-10.0,1,0,0,0,0,10.0,48.0
45,M,Caucasian,Greater than 45,Low,Male,8,0.0,4,1,0,0,0,0.0,1705.0
37,M,African-American,25 - 45,High,Male,2,0.0,9,1,0,0,0,0.0,5.0
39,F,Caucasian,25 - 45,Low,Male,0,0.0,4,1,0,0,0,0.0,22.0
26,F,African-American,25 - 45,High,Male,9,0.0,9,1,0,0,0,1.0,1903.0
45,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,0,0,0,1.0,8615.0
23,F,African-American,Less than 25,Low,Male,0,-1.0,3,1,0,0,0,1.0,23.0
34,M,African-American,25 - 45,Low,Male,2,0.0,2,0,0,0,0,1.0,617.0
23,M,African-American,Less than 25,Low,Female,1,-1.0,4,0,0,0,0,1.0,19.0
36,M,Other,25 - 45,Low,Male,2,-1.0,3,1,0,0,0,1.0,71.0
50,F,Caucasian,Greater than 45,Low,Male,1,-4.0,1,0,0,0,0,4.0,41.0
37,M,Caucasian,25 - 45,Low,Female,0,-1.0,3,0,0,0,0,1.0,6.0
44,M,Caucasian,25 - 45,Low,Male,4,0.0,4,0,0,0,0,0.0,29.0
35,F,African-American,25 - 45,High,Female,23,-1.0,9,1,0,1,0,1.0,50.0
24,F,Other,Less than 25,Medium,Male,5,-1.0,5,1,0,0,0,1.0,20.0
26,F,African-American,25 - 45,High,Male,2,-1.0,10,1,0,0,0,1.0,27.0
27,M,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,0,0,1.0,65.0
28,F,African-American,25 - 45,High,Female,0,0.0,8,0,0,0,0,1.0,698.0
28,F,Caucasian,25 - 45,High,Female,7,-1.0,9,1,0,0,0,1.0,24.0
38,F,African-American,25 - 45,Low,Male,2,-1.0,1,0,0,0,0,1.0,29.0
28,F,African-American,25 - 45,High,Female,1,-1.0,9,0,0,0,0,1.0,931.0
56,F,Caucasian,Greater than 45,Low,Male,7,-1.0,1,1,0,0,0,1.0,14.0
38,F,African-American,25 - 45,High,Male,15,-1.0,9,0,0,0,0,1.0,42.0
28,M,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,0,0,2147.0,17.0
51,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,1,0,0,0,1.0,17.0
51,M,Caucasian,Greater than 45,Low,Male,0,-1.0,2,0,0,0,0,1.0,21.0
36,M,Other,25 - 45,Low,Male,1,-1.0,1,1,0,0,0,1.0,25.0
48,F,African-American,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,26.0
37,F,Caucasian,25 - 45,Low,Male,4,0.0,3,1,0,0,0,0.0,44.0
30,F,African-American,25 - 45,Medium,Female,2,-1.0,7,0,0,0,0,1.0,67.0
41,M,African-American,25 - 45,Medium,Female,5,0.0,6,0,0,0,0,1.0,5.0
27,F,African-American,25 - 45,High,Male,11,-1.0,10,1,0,0,0,1.0,5356.0
37,M,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,42.0
33,F,Other,25 - 45,Low,Male,4,0.0,4,1,0,0,0,1.0,51.0
54,F,African-American,Greater than 45,High,Male,11,-1.0,9,0,0,0,0,1.0,3117.0
23,F,African-American,Less than 25,High,Male,2,-1.0,9,0,0,0,0,1.0,1724.0
41,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0,0,0,0.0,20.0
52,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,21.0
43,F,Caucasian,25 - 45,Low,Male,13,0.0,4,1,0,0,0,1.0,1231.0
52,F,African-American,Greater than 45,Low,Male,0,-1.0,4,0,0,0,0,1.0,334.0
28,F,Caucasian,25 - 45,Low,Male,1,-3.0,1,0,0,0,0,3.0,78.0
30,M,African-American,25 - 45,High,Male,11,-1.0,9,1,0,0,2,1.0,29.0
28,F,Caucasian,25 - 45,Medium,Male,1,0.0,5,0,0,0,0,0.0,148.0
22,F,African-American,Less than 25,Low,Male,0,-1.0,4,0,0,0,0,1.0,22.0
30,F,African-American,25 - 45,Low,Male,4,0.0,2,0,0,0,0,0.0,-4.0
25,F,Hispanic,25 - 45,Low,Male,4,0.0,4,0,0,0,0,0.0,29.0
31,F,Caucasian,25 - 45,High,Male,0,-1.0,8,1,0,0,0,1.0,743.0
37,F,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,0,0,0,1.0,840.0
32,F,African-American,25 - 45,High,Male,14,-1.0,9,0,0,1,0,1.0,27.0
53,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,0,0,0,1.0,25.0
28,F,African-American,25 - 45,High,Male,25,29.0,8,1,0,0,0,70.0,623.0
44,M,Caucasian,25 - 45,Medium,Male,8,-1.0,5,1,0,0,0,1.0,119.0
25,F,African-American,25 - 45,Low,Male,0,0.0,3,0,0,0,0,1.0,8.0
22,M,Caucasian,Less than 25,High,Male,1,0.0,8,1,0,0,1,0.0,142.0
37,M,Other,25 - 45,Low,Female,0,-1.0,1,0,0,0,0,2.0,24.0
40,F,Other,25 - 45,Low,Female,3,-1.0,2,0,0,0,0,1.0,24.0
31,M,Hispanic,25 - 45,Low,Female,0,-1.0,2,0,0,0,0,1.0,21.0
23,F,Hispanic,Less than 25,Medium,Male,1,-1.0,6,1,0,0,1,1.0,30.0
23,F,Caucasian,Less than 25,Medium,Female,5,-1.0,5,1,0,0,4,1.0,18.0
24,M,Hispanic,Less than 25,High,Male,0,-3.0,8,0,0,0,0,3.0,15.0
29,M,African-American,25 - 45,Low,Male,1,-1.0,3,0,0,0,0,1.0,23.0
20,F,African-American,Less than 25,High,Male,1,-1.0,8,1,0,0,0,1.0,27.0
30,F,African-American,25 - 45,Medium,Male,2,-1.0,6,1,0,0,0,1.0,41.0
39,F,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,21.0
27,F,African-American,25 - 45,Low,Male,4,-1.0,4,0,0,0,0,1.0,23.0
37,F,African-American,25 - 45,Low,Female,2,0.0,1,0,0,0,0,0.0,18.0
20,F,African-American,Less than 25,High,Male,0,-1.0,8,0,0,0,0,1.0,66.0
22,F,Hispanic,Less than 25,Medium,Male,0,0.0,7,0,0,0,1,0.0,49.0
52,F,African-American,Greater than 45,Low,Female,0,-1.0,1,0,0,0,0,1.0,15.0
23,F,African-American,Less than 25,Low,Female,0,-1.0,4,1,0,0,0,1.0,90.0
48,F,African-American,Greater than 45,Low,Female,0,-1.0,2,0,0,0,0,1.0,44.0
25,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,0,0,1.0,4.0
27,F,Caucasian,25 - 45,Medium,Male,0,-1.0,6,1,0,0,0,1.0,41.0
30,F,African-American,25 - 45,Medium,Male,11,0.0,7,1,0,0,0,0.0,24.0
22,M,African-American,Less than 25,High,Male,3,-1.0,10,1,0,1,1,1.0,32.0
22,F,Caucasian,Less than 25,Low,Female,1,-1.0,3,0,0,0,0,1.0,23.0
41,M,African-American,25 - 45,Low,Female,2,-1.0,3,0,0,0,0,1.0,22.0
25,F,Other,25 - 45,Low,Female,0,-1.0,2,0,0,0,0,1.0,21.0
52,F,African-American,Greater than 45,Medium,Male,3,0.0,6,1,0,0,0,1.0,598.0
43,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,984.0
37,F,Caucasian,25 - 45,Low,Male,3,-4.0,1,0,0,0,0,4.0,69.0
70,M,Caucasian,Greater than 45,Low,Male,1,-13.0,1,0,0,0,0,13.0,311.0
46,F,Caucasian,Greater than 45,Low,Male,3,-1.0,4,0,0,0,0,1.0,341.0
21,M,African-American,Less than 25,High,Male,0,-1.0,9,1,0,0,0,1.0,26.0
26,M,African-American,25 - 45,High,Male,1,-1.0,8,1,0,0,0,1.0,44.0
38,F,Hispanic,25 - 45,Low,Male,3,23.0,1,1,0,0,0,82.0,46.0
34,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,0,0,0,0,1.0,28.0
34,M,African-American,25 - 45,Low,Male,5,-1.0,4,0,0,0,0,1.0,23.0
23,F,Caucasian,Less than 25,Medium,Male,0,0.0,5,1,0,0,0,1.0,15.0
34,F,African-American,25 - 45,Low,Male,5,-1.0,4,1,0,0,0,1.0,67.0
39,F,African-American,25 - 45,Low,Male,6,-1.0,3,1,0,0,0,1.0,68.0
24,F,Other,Less than 25,Low,Male,0,-1.0,3,0,0,0,0,1.0,25.0
58,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,0,0,0,1.0,42.0
21,M,African-American,Less than 25,Medium,Female,0,0.0,6,0,0,0,0,0.0,20.0
23,M,African-American,Less than 25,High,Male,4,-11.0,8,1,0,0,1,11.0,268.0
62,F,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,0.0,46.0
37,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,0,0,0,0,1.0,263.0
43,F,Other,25 - 45,Low,Male,2,-1.0,2,1,0,0,0,1.0,189.0
32,F,African-American,25 - 45,Low,Female,5,0.0,1,0,0,0,0,2.0,-3.0
23,F,Hispanic,Less than 25,Low,Male,0,-1.0,3,0,0,0,0,1.0,1102.0
27,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0,0,0,1.0,19.0
44,M,Caucasian,25 - 45,Low,Male,0,-1.0,1,1,0,0,0,1.0,29.0
28,M,Caucasian,25 - 45,Low,Male,3,-1.0,3,1,0,0,0,1.0,23.0
42,F,Caucasian,25 - 45,Low,Female,0,-3.0,2,0,0,0,0,3.0,26.0
24,F,Other,Less than 25,High,Male,9,-1.0,10,1,0,1,0,1.0,110.0
27,F,African-American,25 - 45,Low,Male,0,0.0,2,0,0,0,0,0.0,413.0
20,F,African-American,Less than 25,High,Male,0,-1.0,10,1,0,0,0,1.0,20.0
51,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,0,0,1.0,30.0
56,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,1.0,29.0
29,F,African-American,25 - 45,High,Male,7,-1.0,9,0,0,0,0,1.0,28.0
20,F,African-American,Less than 25,High,Male,0,-1.0,9,1,0,0,0,1.0,5037.0
27,F,Caucasian,25 - 45,Medium,Male,8,-1.0,5,0,0,0,0,1.0,1635.0
24,F,African-American,Less than 25,High,Male,2,-1.0,9,1,0,1,0,1.0,458.0
53,F,Caucasian,Greater than 45,Medium,Male,36,-7.0,6,1,0,0,0,7.0,791.0
28,M,Caucasian,25 - 45,Low,Male,2,0.0,3,1,0,0,0,1.0,29.0
21,F,Hispanic,Less than 25,Medium,Male,3,-22.0,5,0,0,1,0,22.0,529.0
36,F,African-American,25 - 45,Medium,Female,0,-1.0,7,0,0,0,0,1.0,288.0
25,M,Caucasian,25 - 45,Low,Female,2,-2.0,4,1,0,0,0,2.0,25.0
23,M,Hispanic,Less than 25,Low,Female,1,0.0,3,0,0,0,0,1.0,10.0
28,F,Caucasian,25 - 45,Medium,Male,1,-4.0,5,0,0,0,0,4.0,28.0
21,F,African-American,Less than 25,High,Female,0,-1.0,8,1,0,0,0,1.0,28.0
36,M,Caucasian,25 - 45,Low,Male,0,-1.0,3,0,0,0,0,1.0,16.0
24,F,African-American,Less than 25,Low,Male,0,-1.0,3,0,0,0,0,1.0,17.0
30,F,Other,25 - 45,Low,Male,1,-1.0,2,1,0,0,0,1.0,14.0
29,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,29.0
30,M,Caucasian,25 - 45,Medium,Female,0,0.0,6,0,0,0,0,1.0,93.0
51,M,Hispanic,Greater than 45,Low,Male,1,-1.0,1,0,0,0,0,2.0,27.0
32,F,African-American,25 - 45,High,Male,12,-1.0,9,1,0,1,0,1.0,37.0
23,F,African-American,Less than 25,Medium,Male,1,0.0,6,0,0,0,1,1.0,26.0
47,F,African-American,Greater than 45,Low,Male,3,0.0,3,0,0,0,0,0.0,4.0
37,F,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,0.0,456.0
19,F,African-American,Less than 25,High,Male,2,-1.0,10,1,0,2,0,1.0,28.0
27,M,Hispanic,25 - 45,High,Male,0,-1.0,8,0,0,0,0,1.0,50.0
39,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,20.0
21,F,Caucasian,Less than 25,Medium,Female,0,0.0,6,0,0,0,2,0.0,4.0
69,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,22.0
21,F,Caucasian,Less than 25,Medium,Male,2,-1.0,6,0,0,0,0,1.0,50.0
26,M,African-American,25 - 45,High,Male,6,0.0,10,1,0,0,1,0.0,89.0
22,F,Caucasian,Less than 25,Low,Male,0,-2.0,4,0,0,0,0,3.0,1.0
23,F,African-American,Less than 25,Medium,Female,0,-1.0,5,1,0,0,0,1.0,16.0
49,F,African-American,Greater than 45,Medium,Male,3,0.0,5,0,0,0,0,1.0,89.0
29,M,African-American,25 - 45,Low,Male,2,-1.0,4,0,0,0,1,1.0,1219.0
